1963年,鉄腕アトム,上高田少年合唱団,鉄腕アトム
1963年,鉄人28号,デューク・エイセス,鉄人28号
1963年,エイトマン,克美しげる,エイトマン
1963年,狼少年ケンのテーマ,西六郷少年少女合唱団,狼少年ケン
1965年,オバケのQ太郎,石川進,オバケのＱ太郎
1965年,ジャングル大帝のテーマ,平野忠彦,ジャングル大帝
1965年,宇宙少年ソラン,上高田少年合唱団,宇宙少年ソラン
1965年,スーパージェッター,上高田少年合唱団,スーパージェッター
1966年,ハリスの旋風,ガチャトリアン,ハリスの旋風
1966年,魔法使いサリー,スリーグレイセス,魔法使いサリー
1967年,ぼくらのパーマン,三輪勝恵、石川進,パーマン
1968年,ゲゲゲの鬼太郎,熊倉一雄,ゲゲゲの鬼太郎
1968年,おれは怪物くんだ,白石冬美・今西正男・大竹宏・兼本新吾,怪物くん
1968年,サスケの歌,ハニー・ナイツ,サスケ
1968年,あかねちゃん,松島みのり,あかねちゃん
1968年,行け！行け！飛雄馬,アンサンブルポッカ,巨人の星
1969年,ハクション大魔王のうた,嶋崎由理,ハクション大魔王
1969年,タイガーマスク,新田洋・スクールメィツ,タイガーマスク
1969年,男一匹ガキ大将,宍倉正信,男一匹ガキ大将
1969年,もーれつア太郎,桂京子,もーれつア太郎
1969年,忍のテーマ,水原弘,忍風カムイ外伝
1969年,ひみつのアッコちゃん,岡田恭子,ひみつのアッコちゃん
1969年,サザエさん,宇野ゆう子,サザエさん
1969年,ねぇ！ムーミン,藤田淑子,ムーミン
1969年,アタックNo.1,大杉久美子,アタックNo.1
1970年,あしたのジョー,尾藤イサオ,あしたのジョー
1970年,みなしごハッチ,嶋崎由理,昆虫物語みなしごハッチ
1971年,ルパン三世のテーマ,ビート・マック・ジュニア,ルパン三世
1971年,天才バカボン,アイドル・フォー,天才バカボン
1972年,マジンガーZ,水木一郎,マジンガーZ
1973年,キューティーハニー,前川陽子,キューティーハニー
1973年,バビル二世,水木一郎,バビル２世
1973年,ぼくドラえもん,大山のぶ代,ドラえもん
1973年,エースをねらえ！,大杉久美子,エースをねらえ！
1974年,宇宙戦艦ヤマト,ささきいさお,宇宙戦艦ヤマト
1974年,おしえて,伊集加代子,アルプスの少女ハイジ
1975年,とんちんかんちん一休さん,相内恵・ヤングフレッシュ,一休さん
1976年,キャンディ・キャンディ,堀江美都子・ザ・チャープス,キャンディ・キャンディ
1978年,ガッチャマンの歌,子門真人,科学忍者隊ガッチャマン
1979年,翔べ！ガンダム,池田鴻,機動戦士ガンダム
1979年,薔薇は美しく散る,鈴木宏子,ベルサイユのバラ
1979年,花の子ルンルン,堀江美都子,花の子ルンルン
1981年,ワイワイワールド,水森亜土／こおろぎ’７３,Dr.スランプアラレちゃん
1981年,ラムのラブソング,松谷祐子,うる星やつら
1981年,忍者ハットリくん,堀絢子,忍者ハットリくん
1983年,想い出がいっぱい,H2O,みゆき
1983年,きてよパーマン,三輪勝恵,パーマン
1983年,キン肉マンGO FIGHT！,串田アキラ,キン肉マン
1983年,デリケートに好きして,太田貴子,魔法の天使クリィミーマミ
1984年,愛をとりもどせ!!,クリスタルキング,北斗の拳
1985年,タッチ,岩崎良美,タッチ
1985年,うしろゆびさされ組,うしろゆびさされ組,ハイスクール！奇面組
1986年,摩訶不思議アドベンチャー,高橋洋樹,ドラゴンボール
1986年,悲しみよこんにちは,斉藤由貴,めぞん一刻
1987年,はじめてのチュウ,あんしんパパ,キテレツ大百科
1989年,ミラクル・ガール,永井真理子,YAWARA！
1989年,CHA-LA-HEAD-CHALA,影山ヒロノブ,ドラゴンボールZ
1990年,おどるポンポコリン,B.B.クイーンズ,ちびまる子ちゃん
1990年,オレ タルるート,TARAKO,まじかる★タルるートくん
1992年,ムーンライト伝説,DALI,美少女戦士セーラームーン
1992年,オラはにんきもの,のはらしんのすけ,クレヨンしんちゃん
1992年,微笑みの爆弾,馬渡松子,幽☆遊☆白書
1993年,君が好きだと叫びたい,BAAD,SLAM DUNK
1993年,勇気100％,光GENJI,忍たま乱太郎
1995年,残酷な天使のテーゼ,高橋洋子,新世紀エヴァンゲリオン
1995年,いとおしい人のために,佐藤朱美,ふしぎ遊戯
1996年,謎,小松未歩,名探偵コナン
1996年,そばかす,JUDY AND MARY,るろうに剣心-明治剣客浪漫譚-
1997年,めざせポケモンマスター,松本梨香,ポケットモンスター
1997年,CONFUSED MEMORIES,円谷憂子,金田一少年の事件簿
1998年,渇いた叫び,FIELD OF VIEW,遊☆戯☆王
1999年,Butter-Fly,和田光司,デジモンアドベンチャー
1999年,おジャ魔女カーニバル!!,MAHO堂,おジャ魔女どれみ
1999年,ウィーアー,きただにひろし,ワンピース
2000年,ハム太郎とっとこうた,ハムちゃんず,とっとこハム太郎
2000年,Dearest,浜崎あゆみ,犬夜叉
2001年,future,HIRO-X,テニスの王子様
2001年,Get Over,dream,ヒカルの碁
2002年,GO!!!,FLOW,NARUTO -ナルト-
2002年,さらば,キンモクセイ,あたしンち
2002年,あんなに一緒だったのに,See-Saw,機動戦士ガンダムSEED
2003年,カサブタ,千綿ヒデノリ,金色のガッシュベル!!
2003年,メリッサ,ポルノグラフィティ,鋼の錬金術師
2004年,D-tecnoLife,UVERworld,BLEACH
2004年,ケロッ!とマーチ,角田信朗＆いはたじゅり,ケロロ軍曹
2004年,心絵,ロードオブメジャー,メジャー
2005年,DANZEN!ふたりはプリキュア,五條真由美,ふたりはプリキュア
2006年,ハレ晴レユカイ,涼宮ハルヒ・長門有希・朝比奈みくる,涼宮ハルヒの憂鬱
2009年,Cagayake!GIRLS,桜高軽音部,けいおん!
2009年,Dragon Soul,谷本貴義,ドラゴンボール改